!sil 1.0	sil
specialty 1.0	s p eh sh ax l t iy
species 1.0	s p iy s iy z
specif- 1.0	s p ax s ih f
specific 1.0	s p ax s ih f ih k
specifically 1.0	s p ax s ih f ih k l iy
specification 1.0	s p eh s ih f ih k ey sh ih n
specifications 1.0	s p eh s ih f ih k ey sh ih n z
specifics 1.0	s p ax s ih f ih k s
specified 1.0	s p eh s ih f ay d
specifies 1.0	s p eh s ih f ay z
specify 1.0	s p eh s ih f ay
specimen 1.0	s p eh s ih m ih n
specimens 1.0	s p eh s ih m ih n z
speck 1.0	s p eh k
speckling 1.0	s p eh k ax l ih ng
specks 1.0	s p eh k s
specs 1.0	s p eh k s
spectacle 1.0	s p eh k t ax k ax l
spectacular 1.0	s p eh k t ae k y ax l er
spectacularly 1.0	s p eh k t ae k y ax l er l iy
spectator 1.0	s p eh k t ey t er
spectators 1.0	s p eh k t ey t er z
spectrography 1.0	s p eh k t r aa g r ax f iy
spectrometer 1.0	s p eh k t r aa m ih t er
spectrum 1.0	s p eh k t r ax m
spectrums 1.0	s p eh k t r ax m z
specula- 1.0	s p eh k y ax l ax
speculate 1.0	s p eh k y ax l ey t
speculated 1.0	s p eh k y ax l ey t ih d
speculating 1.0	s p eh k y ax l ey t ih ng
speculation 1.0	s p eh k y ax l ey sh ih n
speculative 1.0	s p eh k y ax l ax t ih v
sped 1.0	s p eh d
spee- 1.0	s p iy
speech 1.0	s p iy ch
speeches 1.0	s p iy ch ih z
speechless 1.0	s p iy ch l ih s
speed 1.0	s p iy d
speedboats 1.0	s p iy d b ow t s
speeded 1.0	s p iy d ih d
speeding 1.0	s p iy d ih ng
speeding's 1.0	s p iy d ih ng z
speedometer 1.0	s p ih d aa m ih t er
speedometers 1.0	s p ih d aa m ih t er z
speeds 1.0	s p iy d z
speedup 1.0	s p iy d ah p
speedy 1.0	s p iy d iy
speil 1.0	s p iy l
spell 1.0	s p eh l
spelled 1.0	s p eh l d
speller 1.0	s p eh l er
spelling 1.0	s p eh l ih ng
spells 1.0	s p eh l z
spen- 1.0	s p eh n
spencer 1.0	s p eh n s er
spend 1.0	s p eh n d
spendable 1.0	s p eh n d ax b ax l
spending 1.0	s p eh n d ih ng
spendings 1.0	s p eh n d ih ng z
spends 1.0	s p eh n d z
spendthrift 1.0	s p eh n d th r ih f t
spent 1.0	s p eh n t
sperry 1.0	s p eh r iy
sperry's 1.0	s p eh r iy z
spewing 1.0	s p y uw ih ng
sphere 1.0	s f iy r
spheres 1.0	s f iy r z
sphinx 1.0	s f ih ng k s
spice 1.0	s p ay s
spices 1.0	s p ay s ih z
spicier 1.0	s p ay s iy er
spicing 1.0	s p ay s ih ng
spicy 1.0	s p ay s iy
spider 1.0	s p ay d er
spiders 1.0	s p ay d er z
spiegel 1.0	s p iy g ax l
spiel 1.0	s p iy l
spielberg's 1.0	s p iy l b er g z
spies 1.0	s p ay z
spigot 1.0	s p ih g ax t
spike 1.0	s p ay k
spiky 1.0	s p ay k iy
spill 1.0	s p ih l
spilled 1.0	s p ih l d
spilling 1.0	s p ih l ih ng
spills 1.0	s p ih l z
spillway 1.0	s p ih l w ey
spin 1.0	s p ih n
spinach 1.0	s p ih n ih ch
spinal 1.0	s p ay n ax l
spindles 1.0	s p ih n d ax l z
spine 1.0	s p ay n
spinner 1.0	s p ih n er
spinners 1.0	s p ih n er z
spinning 1.0	s p ih n ih ng
spinoccoli 1.0	s p ih n ax k ow l iy
spins 1.0	s p ih n z
spiral 1.0	s p ay r ax l
spiraling 1.0	s p ay r ax l ih ng
spirit 1.0	s p ih r ih t
spirited 1.0	s p ih r ih t ih d
spiritual 1.0	s p ih r ih ch y uw ax l
spiritually 1.0	s p ih r ih ch uw ax l iy
spiro 1.0	s p ay r ow
spit 1.0	s p ih t
spite 1.0	s p ay t
spiteful 1.0	s p ay t f ax l
spitfire 1.0	s p ih t f ay r
spits 1.0	s p ih t s
spitted 1.0	s p ih t ih d
spittering 1.0	s p ih t ax r ih ng
spitting 1.0	s p ih t ih ng
spitz 1.0	s p ih t s
spivey 1.0	s p ay v iy
spla- 1.0	s p l ey
splace 1.0	s p l ey s
splash 1.0	s p l ae sh
splashing 1.0	s p l ae sh ih ng
splatters 1.0	s p l ae t er z
splendid 1.0	s p l eh n d ih d
splint 1.0	s p l ih n t
splinter 1.0	s p l ih n t er
splintered 1.0	s p l ih n t er d
splints 1.0	s p l ih n t s
split 1.0	s p l ih t
split-level 1.0	s p l ih t l eh v ax l
splits 1.0	s p l ih t s
splitting 1.0	s p l ih t ih ng
splotches 1.0	s p l aa ch ih z
splurge 1.0	s p l er jh
splurged 1.0	s p l er jh d
spo 1.0	s p ow
spock 1.0	s p aa k
spock's 1.0	s p aa k s
spoil 1.0	s p oy l
spoiled 1.0	s p oy l d
spoiler 1.0	s p oy l er
spoils 1.0	s p oy l z
spoilt 1.0	s p oy l t
spoke 1.0	s p ow k
spoken 1.0	s p ow k ax n
spokesm- 1.0	s p ow k s m
sponge 1.0	s p ah n jh
sponged 1.0	s p ah n jh d
sponges 1.0	s p ah n jh ih z
sponsor 1.0	s p aa n s er
sponsored 1.0	s p aa n s er d
sponsoring 1.0	s p aa n s ax r ih ng
sponsors 1.0	s p aa n s er z
sponsorship 1.0	s p aa n s er sh ih p
spontaneous 1.0	s p aa n t ey n iy ih s
spoof 1.0	s p uw f
spooked 1.0	s p uw k t
spookier 1.0	s p uw k iy er
spooky 1.0	s p uw k iy
spoon 1.0	s p uw n
spoonful 1.0	s p uw n f ax l
spoons 1.0	s p uw n z
spor- 1.0	s p ow r
sporadically 1.0	s p ax r ae d ih k l iy
sport 1.0	s p ow r t
sportier 1.0	s p ow r t iy er
sporting 1.0	s p ow r t ih ng
sports 1.0	s p ow r t s
sportsman 1.0	s p ow r t s m ae n
sportsman's 1.0	s p ow r t s m ae n z
sportsmanship 1.0	s p ow r t s m ax n sh ih p
sportswise 1.0	s p ow r t s w ay z
sporty 1.0	s p ow r t iy
spot 1.0	s p aa t
spot- 1.0	s p aa t
spots 1.0	s p aa t s
spotted 1.0	s p aa t ih d
spouse 1.0	s p aw s
spouse's 1.0	s p aw s ih z
spouses 1.0	s p aw s ih z
sprain 1.0	s p r ey n
sprained 1.0	s p r ey n d
sprat 1.0	s p r ae t
sprawl 1.0	s p r ao l
sprawled 1.0	s p r ao l d
spray 1.0	s p r ey
sprayed 1.0	s p r ey d
sprayer 1.0	s p r ey er
sprayers 1.0	s p r ey er z
spraying 1.0	s p r ey ih ng
sprays 1.0	s p r ey z
spread 1.0	s p r eh d
spreader 1.0	s p r eh d er
spreaders 1.0	s p r eh d er z
spreading 1.0	s p r eh d ih ng
spreads 1.0	s p r eh d z
spreadshee- 1.0	s p r eh d sh iy
spreadsheet 1.0	s p r eh d sh iy t
spreadsheets 1.0	s p r eh d sh iy t s
spree 1.0	s p r iy
sprigs 1.0	s p r ih g z
sprin- 1.0	s p r ih n
sprinchez 1.0	s p r ih n ch ey z
spring 1.0	s p r ih ng
springboard 1.0	s p r ih ng b ow r d
springcreek 1.0	s p r ih ng k r iy k
springer 1.0	s p r ih ng er
springfield 1.0	s p r ih ng f iy l d
springing 1.0	s p r ih ng ih ng
springs 1.0	s p r ih ng z
springtime 1.0	s p r ih ng t ay m
sprinkle 1.0	s p r ih ng k ax l
sprinkled 1.0	s p r ih ng k ax l d
sprinkler 1.0	s p r ih ng k l er
sprinklers 1.0	s p r ih ng k l er z
sprinkles 1.0	s p r ih ng k ax l z
sprinkling 1.0	s p r ih ng k ax l ih ng
sprint 1.0	s p r ih n t
sprinter's 1.0	s p r ih n t er z
sprints 1.0	s p r ih n t s
sprite 1.0	s p r ay t
sprout 1.0	s p r aw t
sprouts 1.0	s p r aw t s
spruce 1.0	s p r uw s
sprucing 1.0	s p r uw s ih ng
sprung 1.0	s p r ah ng
spry 1.0	s p r ay
spud 1.0	s p ah d
spun 1.0	s p ah n
spur 1.0	s p er
spurred 1.0	s p er d
spurs 1.0	s p er z
spurts 1.0	s p er t s
sputtering 1.0	s p ah t ax r ih ng
spy 1.0	s p ay
spying 1.0	s p ay ih ng
sq- 1.0	s k
squabble 1.0	s k w ao b ax l
squabbles 1.0	s k w ao b ax l z
squad 1.0	s k w aa d
squadrons 1.0	s k w aa d r ih n z
squads 1.0	s k w aa d z
squalor 1.0	s k w ao l er
squandering 1.0	s k w aa n d ax r ih ng
square 1.0	s k w ey r
squared 1.0	s k w ey r d
squareness 1.0	s k w ey r n ih s
squares 1.0	s k w ey r z
squash 1.0	s k w aa sh
squashed 1.0	s k w aa sh t
squashes 1.0	s k w aa sh ih z
squat 1.0	s k w aa t
squats 1.0	s k w aa t s
squatters 1.0	s k w aa t er z
squatting 1.0	s k w aa t ih ng
squawk 1.0	s k w ao k
squawking 1.0	s k w ao k ih ng
squeak 1.0	s k w iy k
squeaked 1.0	s k w iy k t
squeaker 1.0	s k w iy k er
squeakers 1.0	s k w iy k er z
squeaking 1.0	s k w iy k ih ng
squeaks 1.0	s k w iy k s
squeaky 1.0	s k w iy k iy
squeal 1.0	s k w iy l
squealing 1.0	s k w iy l ih ng
squeamish 1.0	s k w iy m ih sh
squeegees 1.0	s k w iy jh iy z
squeeze 1.0	s k w iy z
squeezed 1.0	s k w iy z d
squid 1.0	s k w ih d
squirm 1.0	s k w er m
squirming 1.0	s k w er m ih ng
squirrel 1.0	s k w er l
squirrelly 1.0	s k w er l iy
squirrels 1.0	s k w er l z
squirt 1.0	s k w er t
squirted 1.0	s k w er t ih d
squirts 1.0	s k w er t s
squish 1.0	s k w ih sh
st 1.0	s t
st- 1.0	s t
sta- 1.0	s t ae
sta- 1.0	s t ax
sta- 1.0	s t ey
stab 1.0	s t ae b
stabbed 1.0	s t ae b d
stabbing 1.0	s t ae b ih ng
stabbings 1.0	s t ae b ih ng z
stability 1.0	s t ax b ih l ih t iy
stabilize 1.0	s t ey b ih l ay z
stabilized 1.0	s t ey b ih l ay z d
stable 1.0	s t ey b ax l
stablest 1.0	s t ey b l ih s t
stack 1.0	s t ae k
stacked 1.0	s t ae k t
stacking 1.0	s t ae k ih ng
stacks 1.0	s t ae k s
stacy 1.0	s t ey s iy
stadium 1.0	s t ey d iy ax m
stadium's 1.0	s t ey d iy ax m z
stadiums 1.0	s t ey d iy ax m z
stadler 1.0	s t ae d l er
staff 1.0	s t ae f
staff's 1.0	s t ae f s
staffed 1.0	s t ae f t
staffing 1.0	s t ae f ih ng
staffs 1.0	s t ae f s
stage 1.0	s t ey jh
stages 1.0	s t ey jh ih z
stagger 1.0	s t ae g er
staggering 1.0	s t ae g ax r ih ng
staggers 1.0	s t ae g er z
stagnant 1.0	s t ae g n ih n t
stagnate 1.0	s t ae g n ey t
stain 1.0	s t ey n
stained 1.0	s t ey n d
staining 1.0	s t ey n ih ng
stainless 1.0	s t ey n l ih s
stains 1.0	s t ey n z
stair 1.0	s t ey r
stairmaster 1.0	s t ey r m ae s t er
stairs 1.0	s t ey r z
stairw- 1.0	s t ey r w
stairway 1.0	s t ey r w ey
stairways 1.0	s t ey r w ey z
stairwell 1.0	s t ey r w eh l
stake 1.0	s t ey k
stakeout 1.0	s t ey k aw t
stakes 1.0	s t ey k s
staking 1.0	s t ey k ih ng
stale 1.0	s t ey l
stalin 1.0	s t aa l ih n
staling 1.0	s t ao l ih ng
stalk 1.0	s t ao k
stalks 1.0	s t ao k s
stall 1.0	s t ao l
stalled 1.0	s t ao l d
stalling 1.0	s t ao l ih ng
stallone 1.0	s t ax l ow n
stalls 1.0	s t ao l z
stallworth 1.0	s t ao l w er th
stamford 1.0	s t ae m f er d
stamina 1.0	s t ae m ih n ax
stamina's 1.0	s t ae m ih n ax z
stamp 1.0	s t ae m p
stamped 1.0	s t ae m p t
stamping 1.0	s t ae m p ih ng
stamps 1.0	s t ae m p s
stan- 1.0	s t ae n
stance 1.0	s t ae n s
stances 1.0	s t ae n s ih z
stand 1.0	s t ae n d
standard 1.0	s t ae n d er d
standardization 1.0	s t ae n d er d ih z ey sh ih n
standardized 1.0	s t ae n d er d ay z d
standardizing 1.0	s t ae n d er d ay z ih ng
standards 1.0	s t ae n d er d z
standby 1.0	s t ae n d b ay
standing 1.0	s t ae n d ih ng
standings 1.0	s t ae n d ih ng z
standoffish 1.0	s t ae n d ao f ih sh
standout 1.0	s t ae n d aw t
standpoint 1.0	s t ae n d p oy n t
standpoints 1.0	s t ae n d p oy n t s
stands 1.0	s t ae n d z
standstill 1.0	s t ae n d s t ih l
stanford 1.0	s t ae n f er d
stanley 1.0	s t ae n l iy
stanza 1.0	s t ae n z ax
staple 1.0	s t ey p ax l
staples 1.0	s t ey p ax l z
star 1.0	s t aa r
star- 1.0	s t aa r
starch 1.0	s t aa r ch
starched 1.0	s t aa r ch t
stardom 1.0	s t aa r d ax m
stare 1.0	s t ey r
staring 1.0	s t ey r ih ng
starion 1.0	s t aa r iy aa n
stark 1.0	s t aa r k
starkist 1.0	s t aa r k ih s t
starlight 1.0	s t aa r l ay t
starred 1.0	s t aa r d
starring 1.0	s t aa r ih ng
stars 1.0	s t aa r z
stars' 1.0	s t aa r z
starship 1.0	s t aa r sh ih p
start 1.0	s t aa r t
start- 1.0	s t aa r t
start-up 1.0	s t aa r t ah p
start-ups 1.0	s t aa r t ah p s
started 1.0	s t aa r t ih d
starter 1.0	s t aa r t er
starters 1.0	s t aa r t er z
starting 1.0	s t aa r t ih ng
startling 1.0	s t aa r t ax l ih ng
starts 1.0	s t aa r t s
starve 1.0	s t aa r v
starved 1.0	s t aa r v d
starving 1.0	s t aa r v ih ng
stash 1.0	s t ae sh
stat- 1.0	s t ey sh
state 1.0	s t ey t
state's 1.0	s t ey t s
state- 1.0	s t ey t
stated 1.0	s t ey t ih d
statehood 1.0	s t ey t hh uh d
stately 1.0	s t ey t l iy
statement 1.0	s t ey t m ih n t
statements 1.0	s t ey t m ih n t s
states 1.0	s t ey t s
states' 1.0	s t ey t s
stateside 1.0	s t ey t s ay d
statesman 1.0	s t ey t s m ax n
statewide 1.0	s t ey t w ay d
statewise 1.0	s t ey t w ay z
static 1.0	s t ae t ih k
staticky 1.0	s t ae t ih k iy
stating 1.0	s t ey t ih ng
station 1.0	s t ey sh ih n
station's 1.0	s t ey sh ih n z
stationary 1.0	s t ey sh ih n eh r iy
stationed 1.0	s t ey sh ih n d
stations 1.0	s t ey sh ih n z
statis- 1.0	s t ax t ih s
statistic 1.0	s t ax t ih s t ih k
statistical 1.0	s t ax t ih s t ih k ax l
statistically 1.0	s t ax t ih s t ih k l iy
statistics 1.0	s t ax t ih s t ih k s
statler 1.0	s t ae t l er
stats 1.0	s t ae t s
statue 1.0	s t ae ch uw
statues 1.0	s t ae ch uw z
stature 1.0	s t ae ch er
status 1.0	s t ae t ih s
statute 1.0	s t ae ch uw t
statutes 1.0	s t ae ch uw t s
statutory 1.0	s t ae ch ih t ow r iy
staubach 1.0	s t aw b aa k
staubach's 1.0	s t aw b aa k s
staunch 1.0	s t ao n ch
stay 1.0	s t ey
stayed 1.0	s t ey d
staying 1.0	s t ey ih ng
stays 1.0	s t ey z
stea- 1.0	s t iy
steadfast 1.0	s t eh d f ae s t
steadily 1.0	s t eh d iy l iy
steady 1.0	s t eh d iy
steak 1.0	s t ey k
steak-n-ale 1.0	s t ey k ax n ey l
steaks 1.0	s t ey k s
steal 1.0	s t iy l
stealing 1.0	s t iy l ih ng
steals 1.0	s t iy l z
stealth 1.0	s t eh l th
steam 1.0	s t iy m
steamed 1.0	s t iy m d
steamer 1.0	s t iy m er
steamers 1.0	s t iy m er z
steaming 1.0	s t iy m ih ng
steamroller 1.0	s t iy m r ow l er
steams 1.0	s t iy m z
steamy 1.0	s t iy m iy
steel 1.0	s t iy l
steele 1.0	s t iy l
steeler 1.0	s t iy l er
steelers 1.0	s t iy l er z
steep 1.0	s t iy p
steeped 1.0	s t iy p t
steeper 1.0	s t iy p er
steer 1.0	s t iy r
steered 1.0	s t iy r d
steering 1.0	s t iy r ih ng
steerings 1.0	s t iy r ih ng z
steinbeck 1.0	s t ay n b eh k
steinbrenner 1.0	s t ay n b r eh n er
steinem 1.0	s t ay n ax m
stem 1.0	s t eh m
stemmons 1.0	s t eh m ax n z
stems 1.0	s t eh m z
stencil 1.0	s t eh n s ax l
stenciled 1.0	s t eh n s ax l d
stenciling 1.0	s t eh n s ax l ih ng
step 1.0	s t eh p
step-by-step 1.0	s t eh p b ay s t eh p
stepchild 1.0	s t eh p ch ay l d
stepchildren 1.0	s t eh p ch ih l d r ih n
stepdad 1.0	s t eh p d ae d
stepdad's 1.0	s t eh p d ae d z
stepdaughter 1.0	s t eh p d ao t er
stepdaughter's 1.0	s t eh p d ao t er z
stepdaughters 1.0	s t eh p d ao t er z
stepfather 1.0	s t eh p f aa dh er
stepfather's 1.0	s t eh p f aa dh er z
stephanie 1.0	s t eh f ax n iy
stephen 1.0	s t iy v ax n
stephen's 1.0	s t eh f ax n z
stephenville 1.0	s t eh f ax n v ih l
stephenville's 1.0	s t eh f ax n v ih l z
stepmother 1.0	s t eh p m ah dh er
stepped 1.0	s t eh p t
stepper 1.0	s t eh p er
steppers 1.0	s t eh p er z
stepping 1.0	s t eh p ih ng
steps 1.0	s t eh p s
stepsisters 1.0	s t eh p s ih s t er z
stepson 1.0	s t eh p s ah n
ster- 1.0	s t eh r
stere- 1.0	s t eh r iy
stereo 1.0	s t eh r iy ow
stereos 1.0	s t eh r iy ow z
stereotype 1.0	s t eh r iy ax t ay p
stereotypes 1.0	s t eh r iy ax t ay p s
stereotypical 1.0	s t eh r iy ax t ih p ih k ax l
stereotypically 1.0	s t eh r iy ax t ih p ih k l iy
sterile 1.0	s t eh r ax l
sterilize 1.0	s t eh r ih l ay z
sterilized 1.0	s t eh r ih l ay z d
sterling 1.0	s t er l ih ng
stern 1.0	s t er n
sternness 1.0	s t er n n ih s
sterno 1.0	s t er n ow
steroids 1.0	s t eh r oy d z
stev- 1.0	s t iy v
steve 1.0	s t iy v
steve's 1.0	s t iy v z
steven 1.0	s t iy v ax n
stevens 1.0	s t iy v ax n z
stevie 1.0	s t iy v iy
stew 1.0	s t uw
stewart 1.0	s t uw er t
stewart's 1.0	s t uw er t s
stewed 1.0	s t uw d
stewing 1.0	s t uw ih ng
stews 1.0	s t uw z
sti- 1.0	s t ih
stick 1.0	s t ih k
sticker 1.0	s t ih k er
stickered 1.0	s t ih k er d
stickers 1.0	s t ih k er z
sticking 1.0	s t ih k ih ng
stickler 1.0	s t ih k l er
sticks 1.0	s t ih k s
stickshift 1.0	s t ih k sh ih f t
sticky 1.0	s t ih k iy
stiff 1.0	s t ih f
stiffen 1.0	s t ih f ax n
stiffened 1.0	s t ih f ax n d
stiffener 1.0	s t ih f ax n er
stiffening 1.0	s t ih f ax n ih ng
stiffer 1.0	s t ih f er
stiffest 1.0	s t ih f ih s t
stiffness 1.0	s t ih f n ih s
stiffy 1.0	s t ih f iy
stifle 1.0	s t ay f ax l
stifling 1.0	s t ay f ax l ih ng
stigma 1.0	s t ih g m ax
stigmatism 1.0	s t ih g m ax t ih z ax m
still 1.0	s t ih l
stills 1.0	s t ih l z
stillwater 1.0	s t ih l w ao t er
stimul- 1.0	s t ih m y ax l
stimulate 1.0	s t ih m y ax l ey t
stimulated 1.0	s t ih m y ax l ey t ih d
stimulates 1.0	s t ih m y ax l ey t s
stimulating 1.0	s t ih m y ax l ey t ih ng
stimulation 1.0	s t ih m y ax l ey sh ih n
stimulations 1.0	s t ih m y ax l ey sh ih n z
stimulator 1.0	s t ih m y ax l ey t er
sting 1.0	s t ih ng
stinging 1.0	s t ih ng ih ng
stings 1.0	s t ih ng z
stink 1.0	s t ih ng k
stinkers 1.0	s t ih ng k er z
stinking 1.0	s t ih ng k ih ng
stinks 1.0	s t ih ng k s
stint 1.0	s t ih n t
stints 1.0	s t ih n t s
stipend 1.0	s t ay p eh n d
stipulation 1.0	s t ih p y ax l ey sh ih n
stir 1.0	s t er
stirred 1.0	s t er d
stirring 1.0	s t er r ih ng
stitch 1.0	s t ih ch
stitched 1.0	s t ih ch t
stitchery 1.0	s t ih ch ax r iy
stitches 1.0	s t ih ch ih z
stitching 1.0	s t ih ch ih ng
sto- 1.0	s t aa
sto- 1.0	s t ow
stock 1.0	s t aa k
stockbroker 1.0	s t aa k b r ow k er
stockbrokerage 1.0	s t aa k b r ow k ax r ih jh
stocked 1.0	s t aa k t
stockholders 1.0	s t aa k hh ow l d er z
stockholders' 1.0	s t aa k hh ow l d er z
stockier 1.0	s t aa k iy er
stocking 1.0	s t aa k ih ng
stockings 1.0	s t aa k ih ng z
stocks 1.0	s t aa k s
stocky 1.0	s t aa k iy
stodgy 1.0	s t aa jh iy
stokes 1.0	s t ow k s
stokowlski 1.0	s t ax k aw l s k iy
stokowlski's 1.0	s t ax k aw l s k iy z
stole 1.0	s t ow l
stolen 1.0	s t ow l ax n
stomach 1.0	s t ah m ax k
stomp 1.0	s t aa m p
stomped 1.0	s t aa m p t
stomping 1.0	s t aa m p ih ng
stone 1.0	s t ow n
stone's 1.0	s t ow n z
stoned 1.0	s t ow n d
stonehenge 1.0	s t ow n hh eh n jh
stoneleigh 1.0	s t ow n l iy
stones 1.0	s t ow n z
stoning 1.0	s t ow n ih ng
stood 1.0	s t ih d
stood 1.0	s t uh d
stooges 1.0	s t uw jh ih z
stool 1.0	s t uw l
stools 1.0	s t uw l z
stoop 1.0	s t uw p
stop 1.0	s t aa p
stopgap 1.0	s t aa p g ae p
stoplights 1.0	s t aa p l ay t s
stopped 1.0	s t aa p t
stoppers 1.0	s t aa p er z
stopping 1.0	s t aa p ih ng
stops 1.0	s t aa p s
stopwatch 1.0	s t aa p w aa ch
stor- 1.0	s t ow r
storage 1.0	s t ow r ih jh
storagewise 1.0	s t ow r ih jh w ay z
store 1.0	s t ow r
store's 1.0	s t ow r z
stored 1.0	s t ow r d
storefront 1.0	s t ow r f r ah n t
stores 1.0	s t ow r z
storie- 1.0	s t ow r iy
stories 1.0	s t ow r iy z
storing 1.0	s t ow r ih ng
storly 1.0	s t ow r l iy
storm 1.0	s t ow r m
stormin' 1.0	s t ow r m ih n
storming 1.0	s t ow r m ih ng
storms 1.0	s t ow r m z
stormy 1.0	s t ow r m iy
story 1.0	s t ow r iy
story's 1.0	s t ow r iy z
storybook 1.0	s t ow r iy b uh k
storybooks 1.0	s t ow r iy b uh k s
stove 1.0	s t ow v
stove's 1.0	s t ow v z
stoves 1.0	s t ow v z
stow 1.0	s t ow
str- 1.0	s t r
stra- 1.0	s t r ey
straddle 1.0	s t r ae d el
stragglers 1.0	s t r ae g ax l er z
straight 1.0	s t r ey t
straighten 1.0	s t r ey t en
straightened 1.0	s t r ey t en d
straightens 1.0	s t r ey t en z
straighter 1.0	s t r ey t er
straightest 1.0	s t r ey t ih s t
straightforward 1.0	s t r ey t f ow r w er d
straights 1.0	s t r ey t s
strain 1.0	s t r ey n
strained 1.0	s t r ey n d
straining 1.0	s t r ey n ih ng
strait 1.0	s t r ey t
straits 1.0	s t r ey t s
stran- 1.0	s t r ey n
stranded 1.0	s t r ae n d ih d
strange 1.0	s t r ey n jh
strangely 1.0	s t r ey n jh l iy
stranger 1.0	s t r ey n jh er
stranger's 1.0	s t r ey n jh er z
strangers 1.0	s t r ey n jh er z
strangest 1.0	s t r ey n jh ih s t
strangle 1.0	s t r ae ng g ax l
strangled 1.0	s t r ae ng g ax l d
strangler 1.0	s t r ae ng g l er
strangling 1.0	s t r ae ng g l ih ng
strangulation 1.0	s t r ae ng g y ax l ey sh ih n
strap 1.0	s t r ae p
strapped 1.0	s t r ae p t
straps 1.0	s t r ae p s
strasbourg 1.0	s t r ae s b er g
strasburg 1.0	s t r ao z b er g
strase 1.0	s t r ey s
strate 1.0	s t r ey t
strateg- 1.0	s t r ax t iy jh
strategic 1.0	s t r ax t iy jh ih k
strategically 1.0	s t r ax t iy jh ih k l iy
strategies 1.0	s t r ae t ih jh iy z
strategy 1.0	s t r ae t ih jh iy
stratford-on-avon 1.0	s t r ae t f er d aa n ey v aa n
strauss 1.0	s t r aw s
straw 1.0	s t r ao
strawberries 1.0	s t r ao b eh r iy z
strawberry 1.0	s t r ao b eh r iy
stray 1.0	s t r ey
strayed 1.0	s t r ey d
straying 1.0	s t r ey ih ng
strays 1.0	s t r ey z
stre- 1.0	s t r eh
strea- 1.0	s t r iy
streak 1.0	s t r iy k
streaks 1.0	s t r iy k s
streaky 1.0	s t r iy k iy
stream 1.0	s t r iy m
streamers 1.0	s t r iy m er z
streaming 1.0	s t r iy m ih ng
streamline 1.0	s t r iy m l ay n
streamlined 1.0	s t r iy m l ay n d
streamlining 1.0	s t r iy m l ay n ih ng
streams 1.0	s t r iy m z
strean 1.0	s t r iy n
streep 1.0	s t r iy p
street 1.0	s t r iy t
street's 1.0	s t r iy t s
streets 1.0	s t r iy t s
streisand 1.0	s t r ay z ae n d
strength 1.0	s t r eh ng k th
strengthen 1.0	s t r eh ng k th ax n
strengthened 1.0	s t r eh ng k th ax n d
strengthening 1.0	s t r eh ng k th ax n ih ng
strengths 1.0	s t r eh ng k th s
strengthwise 1.0	s t r eh ng k th w ay z
strenuous 1.0	s t r eh n y uw ax s
strep 1.0	s t r eh p
stress 1.0	s t r eh s
stressed 1.0	s t r eh s t
stresses 1.0	s t r eh s ih z
stressful 1.0	s t r eh s f ax l
stressing 1.0	s t r eh s ih ng
stretch 1.0	s t r eh ch
stretched 1.0	s t r eh ch t
stretches 1.0	s t r eh ch ih z
stretching 1.0	s t r eh ch ih ng
strew 1.0	s t r uw
stri- 1.0	s t r ay
stricker 1.0	s t r ih k er
strict 1.0	s t r ih k t
stricter 1.0	s t r ih k t er
strictest 1.0	s t r ih k t ih s t
strictly 1.0	s t r ih k l iy
strictly 1.0	s t r ih k t l iy
strictures 1.0	s t r ih k ch er z
stride 1.0	s t r ay d
strides 1.0	s t r ay d z
strife 1.0	s t r ay f
strifes 1.0	s t r ay f s
strike 1.0	s t r ay k
strikers 1.0	s t r ay k er z
strikes 1.0	s t r ay k s
string 1.0	s t r ih n g
string 1.0	s t r ih ng
stringent 1.0	s t r ih n jh ih n t
strings 1.0	s t r ih ng z
stringy 1.0	s t r ih ng iy
strip 1.0	s t r ih p
stripe 1.0	s t r ay p
striped 1.0	s t r ay p t
striper 1.0	s t r ay p er
stripers 1.0	s t r ay p er z
stripes 1.0	s t r ay p s
stripped 1.0	s t r ih p t
stripper 1.0	s t r ih p er
strippers 1.0	s t r ih p er z
stripping 1.0	s t r ih p ih ng
strips 1.0	s t r ih p s
strive 1.0	s t r ay v
strived 1.0	s t r ay v d
striving 1.0	s t r ay v ih ng
stroganoff 1.0	s t r ow g ax n ao f
stroke 1.0	s t r ow k
strokes 1.0	s t r ow k s
stroking 1.0	s t r ow k ih ng
stroll 1.0	s t r ow l
stroller 1.0	s t r ow l er
strolling 1.0	s t r ow l ih ng
strong 1.0	s t r ao ng
stronger 1.0	s t r ao ng g er
strongest 1.0	s t r ao ng ih s t
stronghold 1.0	s t r ao ng hh ow l d
strongly 1.0	s t r ao ng l iy
strongness 1.0	s t r ao ng n ih s
struck 1.0	s t r ah k
struct- 1.0	s t r ah k
structural 1.0	s t r ah k ch ax r ax l
structurally 1.0	s t r ah k ch ax r ax l iy
structure 1.0	s t r ah k ch er
structured 1.0	s t r ah k ch er d
structures 1.0	s t r ah k ch er z
structuring 1.0	s t r ah k ch ax r ih ng
struggle 1.0	s t r ah g ax l
struggle's 1.0	s t r ah g ax l z
struggled 1.0	s t r ah g ax l d
struggles 1.0	s t r ah g ax l z
struggling 1.0	s t r ah g ax l ih ng
strung 1.0	s t r ah ng
struthers 1.0	s t r ah dh er z
struts 1.0	s t r ah t s
stu- 1.0	s t ah
stu- 1.0	s t uw
